N TIME
3105 3312
5589 4279
1490 1647
4894 16868
25288 39861
45037 129178
1668 1912
11670 14477
14773 14181
33964 40238
31051 73187
59926 196593
39200 121926
16053 52714
60522 66051
40562 79981
18090 35343
20849 13657
18535 33063
19664 8064
7725 15688
26481 72335
15751 32545
21134 40085
21980 15338
37067 20955
56754 190109
36008 38875
41401 128149
34227 792
33484 106533
28539 14361
43675 123702
45930 116455
50366 144524
55305 110451
8742 21310
11327 18066
39076 66123
43923 130584
51101 73966
60597 140996
43618 45689
46553 94778
43003 44101
10010 4249
2138 1905
42990 7162
63025 314
24536 45383
38530 111158
5439 1360
17773 18905
57540 85679
56331 31794
19919 61711
48280 120680
8028 21829
40868 99153
23392 58959
21315 38724
41520 25294
25481 40556
25722 14849
10177 6313
11073 4466
7878 14619
52592 156520
30867 43782
22577 42420
59210 24751
37633 57400
64507 210621
33265 82582
58746 113569
32452 83470
54826 55109
64006 41478
25368 66731
17377 45371
23998 70615
39015 91537
10337 27063
45975 127436
11628 7946
33065 23105
308 879
6889 11061
18150 10694
38999 54301
2285 450
58354 164770
65359 211979
24117 26833
60255 139911
5797 13534
9889 32751
20403 43097
10108 1687
64786 96654
60124 79966
18251 13935
14847 21562
36888 43262
14807 45077
22242 53848
38067 85248
44520 88589
19431 52294
15103 36726
39736 63666
43852 68600
13375 1500
62461 105766
61515 112798
48476 42427
54383 101473
45996 155794
23761 23803
60155 9565
13484 27478
15690 3216
27737 51229
57090 13119
38890 65915
20934 27052
12218 24433
53173 26680
61376 225881
8606 12006
22001 4405
52884 57259
56448 92534
2964 4470
11364 36101
23097 49143
20042 16501
37503 107934
45842 45517
10318 8264
43465 46851
48796 104213
52941 6626
37811 68626
42488 73769
51766 44599
15553 51313
43184 17334
44681 116069
13327 12609
13973 39977
49679 56555
58889 14121
12953 13861
9769 13483
32203 18123
63320 131098
1088 345
38114 59434
40400 122069
17252 4492
52419 101690
46676 25756
64120 166848
64146 49743
4900 12185
43273 89763
22920 71242
26138 20721
56376 91834
3647 9696
39568 61498
4910 7434
56293 56209
43132 48944
45698 3409
49518 126079
49563 120064
48449 147449
55170 70262
39736 67928
4678 8049
60205 111203
23792 10721
3945 8823
47693 78098
27528 29758
45207 153762
58200 155166
21282 39132
5971 16162
7404 15451
43195 141159
32034 82894
27532 92073
6741 17723
29745 86306
44354 117612
3557 7853
40201 131865
53743 133471
3484 3009
23291 44722
20099 37825
11492 14861
61328 114965
9249 12555
51488 35002
36569 80068
34992 26495
10604 4227
23618 20117
40696 39028
980 952
10297 30123
40914 71235
37355 71702
41556 99936
9932 5914
44505 93979
14719 40724
12992 40881
47719 107297
34856 61273
241 756
23949 33533
48156 43238
18975 48757
50018 13910
26425 53078
47403 111275
20382 62274
16551 6566
52281 13338
35431 116101
7975 1808
12830 30403
242 375
4279 5267
33636 53215
37036 22401
62496 32838
64363 4581
32021 49327
15357 11408
55326 115967
2141 1297
15235 33838
29876 83336
14767 34119
38578 67677
18003 36038
24505 27130
19762 35223
54345 163959
49888 68312
15745 1921
48596 89560
1904 1734
35795 119424
2281 5088
34989 85118
60175 95317
44757 67503
41279 15360
4807 11342
7753 18831
850 549
2710 9030
39517 108299
51071 13709
51412 151553
43668 140585
36649 63644
18149 50694
56227 168170
19149 23221
46621 45522
12422 32561
61318 120622
61656 191708
42648 86658
32660 53700
54841 126017
59747 78251
44501 50095
46736 12657
12670 30689
57990 84210
60488 56108
22415 1122
15098 14536
6114 7044
55234 164947
4200 3053
65472 72405
35479 5139
29923 63714
6688 4782
13402 27013
35509 89704
8685 26831
52859 173761
56422 54298
64048 153379
4781 13986
19816 41614
12839 31704
23263 63012
10327 19672
45162 20875
22627 17727
4285 10656
697 712
64428 212569
12511 34335
5199 16779
56089 25258
56814 116821
23292 30935
9497 6126
47793 102639
58336 124304
60483 45545
39774 55041
10534 336
35170 103427
51107 133406
21273 2183
6842 12017
19403 26343
47795 136540
37628 36684
26472 38565
15777 39936
49581 48170
13574 35148
58055 93081
28450 73199
4062 12813
16191 47494
10258 29062
27513 2467
4993 11452
64859 138531
12810 5420
20828 29881
34765 29706
47115 106663
64985 150183
14497 4000
42332 19095
42710 2741
25193 76974
46873 134109
54540 30090
47815 31723
10089 21039
47269 140062
55032 19969
23334 19073
49378 17298
63660 209952
6473 11769
20795 27761
63595 125864
237 673
35727 33876
34339 114981
28186 20683
6037 10864
9336 25974
28176 2021
49545 32376
26652 24318
16032 30023
19868 13647
55626 9519
906 2662
8649 5568
13444 8858
43215 97383
30225 25609
21606 35085
39700 125444
25097 35745
15164 23512
41311 78850
4313 10801
55672 102671
58145 94638
58109 97055
32727 14087
6595 4374
17719 47675
30412 41513
63985 214035
1205 676
29207 58285
12574 29283
59601 175465
25192 48893
17992 39450
42613 136500
11245 2086
36750 92319
46576 29321
23531 37739
6176 5061
6788 5228
56930 167668
16430 49386
29720 6361
26304 74652
37775 23182
34052 82395
59664 51166
1013 954
57852 129510
12348 8886
61178 192679
25129 18496
37468 12487
19876 37495
33123 14750
44617 99450
52044 107552
21509 28790
5735 6785
7935 6954
17162 14631
38524 109232
12479 31069
40003 89550
3810 11317
41890 122208
17039 7509
2323 4560
64955 148839
18436 39102
62761 210401
38993 29734
15315 45313
1652 1745
4609 13092
53233 173946
22715 23202
17932 28328
27139 37327
15416 18175
24840 22069
15845 25779
23214 29372
43916 34456
62797 68579
36401 24026
23338 35158
6916 15494
47611 108004
53789 83994
40922 72711
11595 22732
36290 110817
50186 23273
13070 24236
14340 23773
54492 5931
21256 11398
4236 8838
6131 16789
40580 22761
45495 140306
16398 29583
48409 105603
63937 43351
55606 172708
26137 69752
11604 27838
17740 8503
48627 39228
14374 6412
38370 32971
41691 130432
13017 32438
37462 818
17764 49672
4343 14639
52005 92895
47806 29589
6047 14968
60431 200213
11129 8592
16940 13214
48454 160016
59552 91008
30193 96271
47358 38171
5633 1375
61282 22036
47911 53148
22912 56467
49896 49481
