N TIME
3105 92951
5589 122954
1490 39092
4894 397625
25288 946814
45037 2783848
1668 38581
11670 321825
14773 312159
33964 895834
31051 1663987
59926 4573973
39200 2859390
16053 1223186
60522 1557405
40562 1878656
18090 831481
20849 313200
18535 766873
19664 171319
7725 363787
26481 1645864
15751 752824
21134 937332
21980 352288
37067 491385
56754 4526772
36008 914737
41401 3078932
34227 11818
33484 4686985
28539 427519
43675 3087587
45930 2768318
50366 3425263
55305 2618893
8742 495515
11327 410039
39076 1539729
43923 3093501
51101 1754961
60597 3340594
43618 1069733
46553 2217176
43003 1122263
10010 93077
2138 40273
42990 172422
63025 632942
24536 1058366
38530 2585421
5439 28769
17773 442603
57540 2024888
56331 724003
19919 1461077
48280 2822691
8028 517445
40868 2343351
23392 1440364
21315 905481
41520 582371
25481 917602
25722 344439
10177 137605
11073 97112
7878 337732
52592 3721778
30867 1028420
22577 1054252
59210 584462
37633 1351299
64507 4996579
33265 1899715
58746 2668666
32452 1948720
54826 1299895
64006 975882
25368 1522382
17377 1072896
23998 1624826
39015 2116569
10337 620984
45975 3018667
11628 184299
33065 516527
308 15504
6889 246733
18150 247549
38999 1311638
2285 9195
58354 3847402
65359 4985108
24117 640638
60255 3282758
5797 310903
9889 765792
20403 1004521
10108 32000
64786 2076530
60124 1853672
18251 314191
14847 502242
36888 1001703
14807 1016184
22242 1254949
38067 2004033
44520 2027768
19431 1229759
15103 854512
39736 1462917
43852 1639514
13375 27947
62461 2427257
61515 2646516
48476 972341
54383 2352438
45996 3627819
23761 541051
60155 221903
13484 641122
15690 63855
27737 1200543
57090 296318
38890 1526069
20934 624373
12218 561871
53173 614311
61376 3703222
8606 282808
22001 94544
52884 1312574
56448 2084372
2964 100687
11364 823899
23097 1140735
20042 385177
37503 2524219
45842 1062582
10318 189290
43465 1099197
48796 2449846
52941 140916
37811 1569872
42488 1736876
51766 1033444
15553 1201405
43184 395941
44681 2660570
13327 280237
13973 928273
49679 1329140
58889 324519
12953 304776
9769 298481
32203 395171
63320 3009915
1088 6134
38114 1421271
40400 2883458
17252 99471
52419 2365446
46676 589925
64120 3917881
64146 1120566
4900 277676
43273 2085012
22920 1646955
26138 479426
56376 2140413
3647 212596
39568 1429865
4910 167200
56293 1265327
43132 1104699
45698 72020
49518 3053845
49563 2818524
48449 3457828
55170 1647331
39736 1587256
4678 183295
60205 2618943
23792 234938
3945 200746
47693 1815476
27528 682419
45207 3313236
58200 3638685
21282 913329
5971 373414
7404 355791
43195 3271180
32034 1935418
27532 2181950
6741 397639
29745 1993768
44354 2758401
3557 173759
40201 3037835
53743 3096446
3484 63914
23291 1041131
20099 883353
11492 329999
61328 2685667
9249 285576
51488 814343
36569 1877803
34992 617950
10604 95229
23618 455232
40696 942922
980 15941
10297 701123
40914 1640187
37355 1674545
41556 2350995
9932 132866
44505 2205631
14719 945033
12992 959623
47719 2503622
34856 1357149
241 13794
23949 769245
48156 1003889
18975 1179118
50018 316427
26425 1247371
47403 2557723
20382 1440213
16551 146307
52281 293513
35431 2724624
7975 36220
12830 708600
242 6278
4279 113426
33636 1243593
37036 520017
62496 728691
64363 90413
32021 1150761
15357 254631
55326 2712140
2141 23630
15235 797727
29876 1968563
14767 807858
38578 1574549
18003 836116
24505 625106
19762 820295
54345 3867181
49888 1541925
15745 35293
48596 2067047
1904 35821
35795 2829540
2281 111249
34989 2038224
60175 2221069
44757 1557718
41279 355226
4807 251034
7753 428938
850 10150
2710 206283
39517 2603133
51071 300854
51412 3584629
43668 3368972
36649 1492369
18149 1172860
56227 3893540
19149 539779
46621 1043390
12422 753312
61318 2732131
61656 4440816
42648 2039934
32660 1259776
54841 2972101
59747 1830267
44501 1172093
46736 300374
12670 707170
57990 1933890
60488 1299004
22415 18519
15098 334546
6114 159084
55234 3734283
4200 63048
65472 1671943
35479 108205
29923 1490762
6688 104746
13402 626609
35509 2054016
8685 610174
52859 3987339
56422 1253426
64048 3559111
4781 311171
19816 945713
12839 740386
23263 1451432
10327 462312
45162 474026
22627 405852
4285 236183
697 11901
64428 4882851
12511 740958
5199 376868
56089 577781
56814 2699186
23292 706379
9497 137863
47793 2380673
58336 2900723
60483 1049844
39774 1306979
10534 5648
35170 2433659
51107 3132536
21273 43152
6842 269477
19403 592406
47795 3184627
37628 804657
26472 892842
15777 935975
49581 1115549
13574 833295
58055 2195768
28450 1722991
4062 294919
16191 1117701
10258 681197
27513 51222
4993 264100
64859 3230454
12810 113187
20828 699965
34765 690802
47115 2554598
64985 3485912
14497 83836
42332 426638
42710 51469
25193 1805433
46873 3133059
54540 690385
47815 725032
10089 491017
47269 3285734
55032 457062
23334 439667
49378 393139
63660 4878086
6473 267994
20795 648884
63595 2922987
237 7658
35727 769076
34339 2689526
28186 485128
6037 243118
9336 606537
28176 41559
49545 742938
26652 561028
16032 702336
19868 309479
55626 219996
906 56451
8649 119775
13444 190450
43215 2219139
30225 567272
21606 813643
39700 2904799
25097 830006
15164 546574
41311 1810805
4313 248583
55672 2429783
58145 2170071
58109 2299224
32727 322694
6595 95532
17719 1100061
30412 959974
63985 4981867
1205 11226
29207 1366344
12574 678659
59601 4129614
25192 1125779
17992 929461
42613 3173380
11245 42476
36750 2148818
46576 673788
23531 881129
6176 113288
6788 117283
56930 3938249
16430 1150996
29720 142260
26304 1766206
37775 543828
34052 1952909
59664 1203739
1013 16523
57852 3069020
12348 200049
61178 4556946
25129 426652
37468 277354
19876 866166
33123 342948
44617 2309612
52044 2481182
21509 653189
5735 155052
7935 154929
17162 335322
38524 2556929
12479 725592
40003 2117530
3810 262410
41890 2891543
17039 192822
2323 100657
64955 3491619
18436 913874
62761 4988644
38993 678140
15315 1051545
